project, pr_id, user, pr_title, URL
eslint/eslint,13251,revelt,Docs: update linter.verifyAndFix docs,https://github.com/eslint/eslint/pull/13251
eslint/eslint,13213,aladdin-add,Build: add node v14,https://github.com/eslint/eslint/pull/13213
eslint/eslint,13150,rajat1saxena,Fix: Initialize ESLint for a TS project by analysing codebase (fixes…,https://github.com/eslint/eslint/pull/13150
eslint/eslint,13143,steelbrain,Handle throw with no arguments in no-throw-literal,https://github.com/eslint/eslint/pull/13143
eslint/eslint,13112,kaicataldo,testing bot - please do not merge,https://github.com/eslint/eslint/pull/13112
eslint/eslint,13091,cesarguillotel,Fix: Set esquery to 1.1.x for ESLint v4,https://github.com/eslint/eslint/pull/13091
eslint/eslint,13082,d4nyll,Fix: Fix esquery to 1.1.x for ESLint v5.16.0 (Fixes #13081),https://github.com/eslint/eslint/pull/13082
eslint/eslint,13072,npdev453,Update: new option singleline-if in padding-line-between-statements,https://github.com/eslint/eslint/pull/13072
eslint/eslint,13068,loeffel-io,New: add ls-lint,https://github.com/eslint/eslint/pull/13068
eslint/eslint,13056,FanFataL,Update: Backticks as an escape for both of the single and double-quote,https://github.com/eslint/eslint/pull/13056
eslint/eslint,13051,evanplaice,Fix: Backport removal of mkdirp to 6.x (fixes #13050),https://github.com/eslint/eslint/pull/13051
eslint/eslint,13035,anikethsaha,Fix: consistencies with docs default and rule,https://github.com/eslint/eslint/pull/13035
eslint/eslint,13018,anikethsaha,Chore: fixed PR template format for list,https://github.com/eslint/eslint/pull/13018
eslint/eslint,13014,ahoseinian,Fix confusing error message.,https://github.com/eslint/eslint/pull/13014
eslint/eslint,13011,Zarel,Docs: Add note about no-extend-native in guard-for-in,https://github.com/eslint/eslint/pull/13011
eslint/eslint,13007,pygy,Saner bounds for max-classes-per-file,https://github.com/eslint/eslint/pull/13007
eslint/eslint,13002,yeonjuan,Update: add checking static value in no-throw-literal,https://github.com/eslint/eslint/pull/13002
eslint/eslint,12988,KyusungDev,Chore: Remove duplicate parserOptions,https://github.com/eslint/eslint/pull/12988
eslint/eslint,12985,Caryyon,Issue12900,https://github.com/eslint/eslint/pull/12985
eslint/eslint,12953,papandreou,Fix markdown for the issue and PR templates,https://github.com/eslint/eslint/pull/12953
eslint/eslint,12933,Caryyon,Docs: rewrote allowArrowFunction option /w declaration (fixes #12900),https://github.com/eslint/eslint/pull/12933
eslint/eslint,12925,markokajzer,New: Add autofix to "default-case" rule,https://github.com/eslint/eslint/pull/12925
eslint/eslint,12921,markokajzer,New: Add autofix to "default-case" rule,https://github.com/eslint/eslint/pull/12921
eslint/eslint,12908,kaicataldo,Update: no-sequences requires parens in assignment position,https://github.com/eslint/eslint/pull/12908
eslint/eslint,12891,simwipado,Fix: fix no-shadow false-positives (fixes #12687),https://github.com/eslint/eslint/pull/12891
eslint/eslint,12890,simwipado,Fix: Fix no-shadow rule giving false positives (fixes #12687),https://github.com/eslint/eslint/pull/12890
eslint/eslint,12695,nikkhn,Docs: Add spacing in comments for no-console rules,https://github.com/eslint/eslint/pull/12695
eslint/eslint,12671,Standard8,Add 'globalThis' to the list of es2020 globals (#12670),https://github.com/eslint/eslint/pull/12671
eslint/eslint,12651,yeonjuan,Fix: uglified autofix in key-spacing (fixes #11414),https://github.com/eslint/eslint/pull/12651
eslint/eslint,12624,Gvozd,Disable `functions` option if used object option, and `ecmaVersion: 5`,https://github.com/eslint/eslint/pull/12624
eslint/eslint,12555,g-plane,New: support specifying extensions in the config (fixes #10828),https://github.com/eslint/eslint/pull/12555
eslint/eslint,12552,aladdin-add,Chore: add package.json funding property,https://github.com/eslint/eslint/pull/12552
eslint/eslint,12532,jrylan,Allow $schema property in configuration,https://github.com/eslint/eslint/pull/12532
eslint/eslint,12531,yeonjuan,Computed property spacing,https://github.com/eslint/eslint/pull/12531
eslint/eslint,12516,Aile13,Test,https://github.com/eslint/eslint/pull/12516
eslint/eslint,12506,alok46,Update package.json,https://github.com/eslint/eslint/pull/12506
eslint/eslint,12494,vsemozhetbyt,Docs: fix typos in no-param-reassign code example,https://github.com/eslint/eslint/pull/12494
