project, pr_id, user, pr_title, URL
hexojs/hexo,4227,dependabot-preview,chore(deps-dev): bump lint-staged from 9.5.0 to 10.1.2,https://github.com/hexojs/hexo/pull/4227
hexojs/hexo,4211,dependabot-preview,chore(deps-dev): bump lint-staged from 9.5.0 to 10.1.1,https://github.com/hexojs/hexo/pull/4211
hexojs/hexo,4209,dependabot-preview,chore(deps-dev): bump lint-staged from 9.5.0 to 10.1.0,https://github.com/hexojs/hexo/pull/4209
hexojs/hexo,4206,dependabot-preview,chore(deps-dev): bump lint-staged from 9.5.0 to 10.0.10,https://github.com/hexojs/hexo/pull/4206
hexojs/hexo,4201,dependabot-preview,chore(deps-dev): bump lint-staged from 9.5.0 to 10.0.9,https://github.com/hexojs/hexo/pull/4201
hexojs/hexo,4182,seaoak,Fix mismatching between TOC helper and `hexo-util.htmlTag`,https://github.com/hexojs/hexo/pull/4182
hexojs/hexo,4180,dependabot-preview,chore(deps-dev): bump sinon from 8.1.1 to 9.0.1,https://github.com/hexojs/hexo/pull/4180
hexojs/hexo,4158,dependabot-preview,chore(deps-dev): bump lint-staged from 9.5.0 to 10.0.8,https://github.com/hexojs/hexo/pull/4158
hexojs/hexo,4154,curbengh,feat: disable deep merging theme configs by default,https://github.com/hexojs/hexo/pull/4154
hexojs/hexo,4150,segayuu,Refactor(class): Replace prototype to class syntax,https://github.com/hexojs/hexo/pull/4150
hexojs/hexo,4146,SukkaW,perf(partial): enhance caching,https://github.com/hexojs/hexo/pull/4146
hexojs/hexo,4141,Himself65,perf: improve performance through inline variable 'length',https://github.com/hexojs/hexo/pull/4141
hexojs/hexo,4137,Himself65,fix: backwards compatible to nodejs < 8 (#4123),https://github.com/hexojs/hexo/pull/4137
hexojs/hexo,4135,dependabot-preview,chore(deps-dev): bump sinon from 8.1.1 to 9.0.0,https://github.com/hexojs/hexo/pull/4135
hexojs/hexo,4126,dependabot-preview,chore(deps-dev): bump husky from 3.1.0 to 4.2.3,https://github.com/hexojs/hexo/pull/4126
hexojs/hexo,4124,dependabot-preview,chore(deps-dev): bump husky from 3.1.0 to 4.2.2,https://github.com/hexojs/hexo/pull/4124
hexojs/hexo,4114,dependabot-preview,chore(deps-dev): bump lint-staged from 9.5.0 to 10.0.7,https://github.com/hexojs/hexo/pull/4114
hexojs/hexo,4110,dependabot-preview,chore(deps-dev): bump lint-staged from 9.5.0 to 10.0.6,https://github.com/hexojs/hexo/pull/4110
hexojs/hexo,4106,dependabot-preview,chore(deps-dev): bump lint-staged from 9.5.0 to 10.0.4,https://github.com/hexojs/hexo/pull/4106
hexojs/hexo,4105,dependabot-preview,chore(deps-dev): bump lint-staged from 9.5.0 to 10.0.3,https://github.com/hexojs/hexo/pull/4105
hexojs/hexo,4103,SukkaW,feat(processor): enable cache for common util,https://github.com/hexojs/hexo/pull/4103
hexojs/hexo,4099,dependabot-preview,chore(deps-dev): bump husky from 3.1.0 to 4.2.1,https://github.com/hexojs/hexo/pull/4099
hexojs/hexo,4097,dependabot-preview,chore(deps-dev): bump lint-staged from 9.5.0 to 10.0.2,https://github.com/hexojs/hexo/pull/4097
hexojs/hexo,4096,dependabot-preview,chore(deps-dev): bump husky from 3.1.0 to 4.2.0,https://github.com/hexojs/hexo/pull/4096
hexojs/hexo,4094,dependabot-preview,chore(deps-dev): bump lint-staged from 9.5.0 to 10.0.1,https://github.com/hexojs/hexo/pull/4094
hexojs/hexo,4089,dependabot-preview,chore(deps-dev): bump lint-staged from 9.5.0 to 10.0.0,https://github.com/hexojs/hexo/pull/4089
hexojs/hexo,4082,dependabot-preview,chore(deps-dev): bump husky from 3.1.0 to 4.0.10,https://github.com/hexojs/hexo/pull/4082
hexojs/hexo,4079,dependabot-preview,chore(deps-dev): bump husky from 3.1.0 to 4.0.9,https://github.com/hexojs/hexo/pull/4079
hexojs/hexo,4074,dependabot-preview,chore(deps-dev): bump husky from 3.1.0 to 4.0.7,https://github.com/hexojs/hexo/pull/4074
hexojs/hexo,4070,SukkaW,feat: add prop to helper extension,https://github.com/hexojs/hexo/pull/4070
hexojs/hexo,4068,dependabot-preview,chore(deps-dev): bump husky from 3.1.0 to 4.0.5,https://github.com/hexojs/hexo/pull/4068
hexojs/hexo,4066,dependabot-preview,chore(deps-dev): bump husky from 3.1.0 to 4.0.3,https://github.com/hexojs/hexo/pull/4066
hexojs/hexo,4064,dependabot-preview,chore(deps-dev): bump husky from 3.1.0 to 4.0.1,https://github.com/hexojs/hexo/pull/4064
hexojs/hexo,4062,dependabot-preview,chore(deps-dev): bump husky from 3.1.0 to 4.0.0,https://github.com/hexojs/hexo/pull/4062
hexojs/hexo,4004,dependabot-preview,build(deps-dev): bump sinon from 7.5.0 to 8.0.0,https://github.com/hexojs/hexo/pull/4004
hexojs/hexo,3999,SukkaW,feat(external_link): enhance cache,https://github.com/hexojs/hexo/pull/3999
hexojs/hexo,3990,SukkaW,test(toc): refactor the test,https://github.com/hexojs/hexo/pull/3990
hexojs/hexo,3941,curbengh,refactor(theme/view): replace lodash,https://github.com/hexojs/hexo/pull/3941
hexojs/hexo,3939,curbengh,refactor(post): async/await,https://github.com/hexojs/hexo/pull/3939
hexojs/hexo,3929,noraj,add min_depth to toc() helper,https://github.com/hexojs/hexo/pull/3929
hexojs/hexo,3912,curbengh,fix(tag/category): transform case on name,https://github.com/hexojs/hexo/pull/3912
hexojs/hexo,3910,dailyrandomphoto,fix(box): handle edge cases for "ignore:" option,https://github.com/hexojs/hexo/pull/3910
hexojs/hexo,3902,SukkaW,feat(enhance_cache): bring up [locals],https://github.com/hexojs/hexo/pull/3902
hexojs/hexo,3901,SukkaW,[WIP] feat(cache): bring up lfu,https://github.com/hexojs/hexo/pull/3901
hexojs/hexo,3893,curbengh,feat(permalink): pretty_urls.trailing_html,https://github.com/hexojs/hexo/pull/3893
hexojs/hexo,3866,SukkaW,style: use for..of,https://github.com/hexojs/hexo/pull/3866
hexojs/hexo,3847,SukkaW,refactor(external_link): utilize hexo-util isExternalLink(),https://github.com/hexojs/hexo/pull/3847
hexojs/hexo,3839,SukkaW,test/refactor: update isExternalLink,https://github.com/hexojs/hexo/pull/3839
hexojs/hexo,3835,curbengh,refactor(external_link): utilize isExternalLink() of hexo-util,https://github.com/hexojs/hexo/pull/3835
hexojs/hexo,3834,curbengh,Revert "fix: external link ignore mailto: & javascript: (#3812)",https://github.com/hexojs/hexo/pull/3834
hexojs/hexo,3832,curbengh,test revert,https://github.com/hexojs/hexo/pull/3832
hexojs/hexo,3831,curbengh,perf(new_post_path): revert to lodash defaults,https://github.com/hexojs/hexo/pull/3831
hexojs/hexo,3807,SukkaW,refactor: drop lodash for lib/theme,https://github.com/hexojs/hexo/pull/3807
hexojs/hexo,3801,curbengh,Ci node 13,https://github.com/hexojs/hexo/pull/3801
hexojs/hexo,3800,curbengh,ci: add node 13 and updating caching option,https://github.com/hexojs/hexo/pull/3800
hexojs/hexo,3789,YoshinoriN,docs: add compatibility with Node.js,https://github.com/hexojs/hexo/pull/3789
hexojs/hexo,3779,fossabot,Add license scan report and status,https://github.com/hexojs/hexo/pull/3779
hexojs/hexo,3764,Duke1048,solve There is a circle icon in front of every <li></li> when ahead o…,https://github.com/hexojs/hexo/pull/3764
hexojs/hexo,3734,dependabot-preview,chore(deps): update warehouse requirement from ^2.2.0 to ^3.0.0,https://github.com/hexojs/hexo/pull/3734
hexojs/hexo,3733,YoshinoriN,Example: test of migrate warehouse 3,https://github.com/hexojs/hexo/pull/3733
hexojs/hexo,3718,curbengh,(WIP) style: prettier,https://github.com/hexojs/hexo/pull/3718
hexojs/hexo,3694,dependabot-preview,chore(deps): update hexo-util requirement from ^0.6.3 to ^1.0.1,https://github.com/hexojs/hexo/pull/3694
hexojs/hexo,3684,dependabot-preview,chore(deps-dev): update hexo-renderer-marked requirement from ^1.0.1 to ^2.0.0,https://github.com/hexojs/hexo/pull/3684
hexojs/hexo,3683,curbengh,chore(appveyor): always update npm,https://github.com/hexojs/hexo/pull/3683
hexojs/hexo,3682,dependabot-preview,chore(deps): update hexo-util requirement from ^0.6.3 to ^1.0.0,https://github.com/hexojs/hexo/pull/3682
